file,类别,修改状态,改动类别,skip官方,skipfork,根因簇谱系,A_结果,A_通过,A_失败,A_耗时s,615b48e95_结果,615b48e95_通过,615b48e95_失败,615b48e95_耗时s,失败集合,根因簇
test/js/sql/adapter-env-var-precedence.test.ts,Bun.sql,modified,other-adapted,3,3,env-baseline,FAIL,92,1,0.6s,❌,92,1,0.4s,both-fail,env-baseline
test/js/sql/adapter-override.test.ts,Bun.sql,unchanged,,0,0,,PASS,3,0,0.6s,✅,3,0,0.3s,both-pass,
test/js/sql/local-sql.test.ts,Bun.sql,unchanged,,0,0,sql-docker-gate,PASS,0,0,0.6s,✅,0,0,0.3s,both-pass,
test/js/sql/postgres-binary-array-bounds.test.ts,Bun.sql,unchanged,,0,0,,PASS,7,0,0.6s,✅,7,0,0.4s,both-pass,
test/js/sql/postgres-binary-float-nan-box.test.ts,Bun.sql,unchanged,,0,0,,PASS,4,0,0.7s,✅,4,0,0.4s,both-pass,
test/js/sql/postgres-binary-numeric-digit-range.test.ts,Bun.sql,unchanged,,0,0,,PASS,6,0,0.7s,✅,6,0,0.3s,both-pass,
test/js/sql/postgres-binary-numeric.test.ts,Bun.sql,unchanged,,0,0,sql-docker-gate,PASS,0,0,0.6s,✅,0,0,0.3s,both-pass,
test/js/sql/postgres-datarow-overrun.test.ts,Bun.sql,unchanged,,0,0,,PASS,9,0,1.1s,✅,9,0,0.5s,both-pass,
test/js/sql/postgres-datestyle.test.ts,Bun.sql,unchanged,,0,0,sql-docker-gate,PASS,1,0,0.7s,✅,1,0,0.3s,both-pass,
test/js/sql/postgres-duplicate-auth-request.test.ts,Bun.sql,unchanged,,0,0,,PASS,9,0,1.8s,✅,9,0,1.3s,both-pass,
test/js/sql/postgres-error-then-datarow.test.ts,Bun.sql,unchanged,,0,0,,PASS,2,0,1.5s,✅,2,0,0.5s,both-pass,
test/js/sql/postgres-failed-connection-resurrection.test.ts,Bun.sql,unchanged,,1,1,,PASS,0,0,0.8s,✅,0,0,0.3s,both-pass,
test/js/sql/postgres-finish-request-underflow.test.ts,Bun.sql,unchanged,,0,0,,PASS,1,0,1.2s,✅,1,0,0.4s,both-pass,
test/js/sql/postgres-frame-boundary.test.ts,Bun.sql,unchanged,,0,0,,PASS,9,0,0.7s,✅,9,0,0.3s,both-pass,
test/js/sql/postgres-infinity-date.test.ts,Bun.sql,unchanged,,0,0,,PASS,18,0,0.7s,✅,18,0,0.4s,both-pass,
test/js/sql/postgres-invalid-message-length.test.ts,Bun.sql,unchanged,,0,0,,PASS,11,0,0.6s,✅,11,0,0.3s,both-pass,
